year,state,size,vs_p,vs_v,vs_c,vs_o,hs_p,hs_v,hs_c,pop_p,pop_v,pop_c,pop_o,winner
2021,AZ,8,0.0,0.5,0.0,0.5,0,0,0,0.62,0.25,0.0,0.13,V
2021,IA,12,0.0,1.0,0.0,0.0,0,1,0,0.17,0.58,0.0,0.25,V
2021,KS,10,0.0,0.5,0.1,0.4,0,0,0,0.1,0.7,0.0,0.2,V
2021,FL,36,0.0,0.36,0.25,0.39,0,0,1,0.22,0.33,0.25,0.2,C
2021,OK,33,0.0,0.12,0.03,0.85,0,0,0,0.15,0.45,0.06,0.34,V
2021,AR,14,0.0,0.07,0.0,0.93,0,0,0,0.36,0.14,0.29,0.21,P
2021,MO,22,0.0,0.55,0.0,0.45,0,0,0,0.0,0.45,0.05,0.5,V
2021,NM,3,0.0,0.33,0.0,0.67,0,0,0,0.33,0.0,0.0,0.67,P
2021,IL,5,0.0,0.2,0.0,0.8,0,0,0,0.2,0.4,0.2,0.2,P
2021,SD,5,0.0,0.0,0.2,0.8,0,0,0,0.0,0.4,0.4,0.2,P
2021,AK,6,0.0,0.33,0.0,0.67,0,0,0,0.0,0.0,0.17,0.83,V
2021,VA,10,0.0,0.0,0.2,0.8,0,0,0,0.5,0.1,0.0,0.4,P
2021,OH,6,0.0,0.5,0.0,0.5,0,0,0,0.0,1.0,0.0,0.0,V
2021,NY,7,0.0,0.0,0.0,1.0,0,0,0,0.43,0.0,0.14,0.43,V
2021,ND,4,0.0,0.0,0.0,1.0,0,0,0,0.5,0.0,0.0,0.5,P
2021,MD,2,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,1.0,0.0,C
2021,NV,3,0.0,1.0,0.0,0.0,0,0,0,0.0,0.33,0.67,0.0,V
2021,CA,6,0.0,0.0,0.0,1.0,0,0,0,0.5,0.0,0.0,0.5,P
2021,NE,15,0.0,0.47,0.0,0.53,0,0,0,0.2,0.2,0.0,0.6,V
2021,MN,2,0.0,0.0,0.0,1.0,0,0,0,0.0,0.5,0.5,0.0,V
2021,LA,6,0.0,0.5,0.0,0.5,0,0,0,0.33,0.33,0.17,0.17,P
2021,WA,4,0.0,0.5,0.0,0.5,0,0,0,0.25,0.25,0.0,0.5,V
2021,UT,1,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,C
2021,KY,4,0.0,0.75,0.0,0.25,0,0,0,0.25,0.0,0.0,0.75,V
2021,DE,1,0.0,1.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,V
2021,ME,1,0.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0.0,C
2021,HI,2,0.0,0.5,0.0,0.5,0,0,0,0.5,0.0,0.5,0.0,V
2021,CO,3,0.0,0.0,0.0,1.0,0,0,0,0.67,0.0,0.0,0.33,P
2021,AL,50,0.0,0.0,0.0,1.0,0,0,0,0.4,0.42,0.14,0.04,P
2021,AZ,7,0.0,0.0,0.0,1.0,0,0,0,0.86,0.14,0.0,0.0,V
