State,Party,Decided?,Vote
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Virginia,Compassion,"No, I'm Undecided",Undecided
,,,
Virginia,Compassion,"No, I'm Undecided",Undecided
,,,
Virginia,Compassion,"No, I'm Undecided",Undecided
,,,
Virginia,Compassion,"No, I'm Undecided",Undecided
,,,
Alabama,Parent,"No, I'm Undecided",Undecided
,,,
Alaska,Parent,"No, I'm Undecided",Undecided
,,,
Arkansas,Parent,"No, I'm Undecided",Undecided
,,,
Arkansas,Parent,"No, I'm Undecided",Undecided
,,,
Arkansas,Parent,"No, I'm Undecided",Undecided
,,,
Florida,Parent,"No, I'm Undecided",Undecided
,,,
Florida,Parent,"No, I'm Undecided",Undecided
,,,
Florida,Parent,"No, I'm Undecided",Undecided
,,,
Florida,Parent,"No, I'm Undecided",Undecided
,,,
Louisiana,Parent,"No, I'm Undecided",Undecided
,,,
Louisiana,Parent,"No, I'm Undecided",Undecided
,,,
Louisiana,Parent,"No, I'm Undecided",Undecided
,,,
Maine,Parent,"No, I'm Undecided",Undecided
,,,
Mississippi,Parent,"No, I'm Undecided",Undecided
,,,
Mississippi,Parent,"No, I'm Undecided",Undecided
,,,
Mississippi,Parent,"No, I'm Undecided",Undecided
,,,
Nevada,Parent,"No, I'm Undecided",Undecided
,,,
North Carolina,Parent,"No, I'm Undecided",Undecided
,,,
Oklahoma,Parent,"No, I'm Undecided",Undecided
,,,
Oklahoma,Parent,"No, I'm Undecided",Undecided
,,,
Oklahoma,Parent,"No, I'm Undecided",Undecided
,,,
South Carolina,Parent,"No, I'm Undecided",Undecided
,,,
South Carolina,Parent,"No, I'm Undecided",Undecided
,,,
South Carolina,Parent,"No, I'm Undecided",Undecided
,,,
Texas,Parent,"No, I'm Undecided",Undecided
,,,
Texas,Parent,"No, I'm Undecided",Undecided
,,,
Texas,Parent,"No, I'm Undecided",Undecided
,,,
Texas,Parent,"No, I'm Undecided",Undecided
,,,
Texas,Parent,"No, I'm Undecided",Undecided
,,,
Texas,Parent,"No, I'm Undecided",Undecided
,,,
Texas,Parent,"No, I'm Undecided",Undecided
,,,
Virginia,Parent,"No, I'm Undecided",Undecided
,,,
Washington,Parent,"No, I'm Undecided",Undecided
,,,
Alabama,Perseverance,"No, I'm Undecided",Undecided
,,,
Alabama,Perseverance,"No, I'm Undecided",Undecided
,,,
Alabama,Perseverance,"No, I'm Undecided",Undecided
,,,
Alabama,Perseverance,"No, I'm Undecided",Undecided
,,,
Alabama,Perseverance,"No, I'm Undecided",Undecided
,,,
Alabama,Perseverance,"No, I'm Undecided",Undecided
,,,
Alabama,Perseverance,"No, I'm Undecided",Undecided
,,,
Alabama,Perseverance,"No, I'm Undecided",Undecided
,,,
Alabama,Perseverance,"No, I'm Undecided",Undecided
,,,
Alabama,Perseverance,"No, I'm Undecided",Undecided
,,,
Alabama,Perseverance,"No, I'm Undecided",Undecided
,,,
Alaska,Perseverance,"No, I'm Undecided",Undecided
,,,
Arizona,Perseverance,"No, I'm Undecided",Undecided
,,,
Arkansas,Perseverance,"No, I'm Undecided",Undecided
,,,
Arkansas,Perseverance,"No, I'm Undecided",Undecided
,,,
Arkansas,Perseverance,"No, I'm Undecided",Undecided
,,,
Arkansas,Perseverance,"No, I'm Undecided",Undecided
,,,
Colorado,Perseverance,"No, I'm Undecided",Undecided
,,,
Connecticut,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Florida,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Georgia,Perseverance,"No, I'm Undecided",Undecided
,,,
Illinois,Perseverance,"No, I'm Undecided",Undecided
,,,
Illinois,Perseverance,"No, I'm Undecided",Undecided
,,,
Illinois,Perseverance,"No, I'm Undecided",Undecided
,,,
Illinois,Perseverance,"No, I'm Undecided",Undecided
,,,
Illinois,Perseverance,"No, I'm Undecided",Undecided
,,,
Indiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Iowa,Perseverance,"No, I'm Undecided",Undecided
,,,
Kansas,Perseverance,"No, I'm Undecided",Undecided
,,,
Kansas,Perseverance,"No, I'm Undecided",Undecided
,,,
Kansas,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
Louisiana,Perseverance,"No, I'm Undecided",Undecided
,,,
