State,Party,Decided?,Vote
Virginia,Vision,"No, I'm Undecided",Undecided
,,,
Virginia,Vision,"No, I'm Undecided",Undecided
,,,
Virginia,Vision,"No, I'm Undecided",Undecided
,,,
Virginia,Vision,"No, I'm Undecided",Undecided
,,,
Virginia,Vision,"No, I'm Undecided",Undecided
,,,
Virginia,Vision,"No, I'm Undecided",Undecided
,,,
Virginia,Vision,"No, I'm Undecided",Undecided
,,,
Virginia,Vision,"No, I'm Undecided",Undecided
,,,
Washington,Vision,"No, I'm Undecided",Undecided
,,,
Georgia,,"No, I'm Undecided",Undecided
,,,
Oklahoma,,"No, I'm Undecided",Undecided
,,,
Arkansas,Parent,"No, I'm Undecided",
,,,
Maine,Perseverance,"No, I'm Undecided",
,,,
Arkansas,Vision,"No, I'm Undecided",
,,,
Texas,Vision,"No, I'm Undecided",
,,,
Texas,Vision,"No, I'm Undecided",
,,,
Florida,Compassion,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Missouri,Compassion,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Georgia,Perseverance,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Arkansas,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Arkansas,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Florida,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Florida,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Georgia,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Georgia,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Georgia,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Georgia,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Georgia,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Georgia,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Georgia,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Georgia,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Georgia,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Indiana,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Indiana,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Indiana,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Louisiana,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
New Hampshire,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Oklahoma,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Oklahoma,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Oklahoma,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Oklahoma,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Oklahoma,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Oklahoma,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Oklahoma,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Oregon,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
South Carolina,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
South Carolina,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
South Carolina,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
South Carolina,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
South Carolina,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
South Carolina,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
South Carolina,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
South Carolina,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
South Carolina,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Tennessee,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Texas,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Texas,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Virginia,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Virginia,Vision,"Yes, I've Decided",Truman Forehand/Grant Johnson
,,,
Arizona,Compassion,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Arizona,Compassion,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Florida,Compassion,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Missouri,Compassion,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Virginia,Compassion,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Virginia,Compassion,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Florida,Parent,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Kansas,Parent,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Kansas,Parent,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Massachusetts,Parent,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Oklahoma,Parent,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Alabama,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Arizona,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Arizona,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Arizona,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Arizona,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Arkansas,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Colorado,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Connecticut,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Florida,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Florida,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Florida,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Florida,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Florida,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Florida,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Florida,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Georgia,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Georgia,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Illinois,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Kansas,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Kansas,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Kansas,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Kansas,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Kansas,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Kansas,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Kansas,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Kansas,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Maine,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Maine,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Massachusetts,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Mississippi,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Mississippi,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Mississippi,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Mississippi,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Mississippi,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Mississippi,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Mississippi,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Mississippi,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Mississippi,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Mississippi,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Missouri,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Missouri,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
North Carolina,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
North Carolina,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Oklahoma,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Oklahoma,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Oklahoma,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Oklahoma,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Oklahoma,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Oklahoma,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Oklahoma,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Oklahoma,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Oregon,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Oregon,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Pennsylvania,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
South Carolina,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
South Carolina,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
South Carolina,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Tennessee,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Tennessee,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Tennessee,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Tennessee,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Texas,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Virginia,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Virginia,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Virginia,Perseverance,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Florida,Vision,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Florida,Vision,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Kansas,Vision,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Washington,Vision,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
South Dakota,,"Yes, I've Decided",Carissa Gould/Toby DeMoss
,,,
Kentucky,Parent,"Yes, I've Decided",Lyvers/Berry
,,,
Florida,Perseverance,"Yes, I've Decided",Lyvers/Berry
,,,
Kentucky,Perseverance,"Yes, I've Decided",Lyvers/Berry
,,,
Kentucky,Perseverance,"Yes, I've Decided",Lyvers/Berry
,,,
Kentucky,Perseverance,"Yes, I've Decided",Lyvers/Berry
,,,
Kentucky,Perseverance,"Yes, I've Decided",Lyvers/Berry
,,,
Louisiana,Perseverance,"Yes, I've Decided",Lyvers/Berry
,,,
Arkansas,Compassion,"Yes, I've Decided",Pettus/Matz
,,,
Kentucky,Compassion,"Yes, I've Decided",Pettus/Matz
,,,
Kentucky,Compassion,"Yes, I've Decided",Pettus/Matz
,,,
Mississippi,Compassion,"Yes, I've Decided",Pettus/Matz
,,,
Texas,Compassion,"Yes, I've Decided",Pettus/Matz
,,,
Texas,Compassion,"Yes, I've Decided",Pettus/Matz
,,,
Virginia,Compassion,"Yes, I've Decided",Pettus/Matz
,,,
Texas,Parent,"Yes, I've Decided",Pettus/Matz
,,,
Florida,Perseverance,"Yes, I've Decided",Pettus/Matz
,,,
Texas,Perseverance,"Yes, I've Decided",Pettus/Matz
,,,
Texas,Perseverance,"Yes, I've Decided",Pettus/Matz
,,,
Texas,Vision,"Yes, I've Decided",Pettus/Matz
,,,
Texas,Vision,"Yes, I've Decided",Pettus/Matz
,,,
Texas,Vision,"Yes, I've Decided",Pettus/Matz
,,,
Missouri,Parent,"Yes, I've Decided",Sodonis/Borelly
,,,
Tennessee,Parent,"Yes, I've Decided",Sodonis/Borelly
,,,
Tennessee,Parent,"Yes, I've Decided",Sodonis/Borelly
,,,
Louisiana,Perseverance,"Yes, I've Decided",Sodonis/Borelly
,,,
Louisiana,Perseverance,"Yes, I've Decided",Sodonis/Borelly
,,,
Louisiana,Perseverance,"Yes, I've Decided",Sodonis/Borelly
,,,
Louisiana,Perseverance,"Yes, I've Decided",Sodonis/Borelly
,,,
Louisiana,Perseverance,"Yes, I've Decided",Sodonis/Borelly
,,,
Texas,Perseverance,"Yes, I've Decided",Sodonis/Borelly
,,,
Florida,Vision,"Yes, I've Decided",Sodonis/Borelly
,,,
Louisiana,Vision,"Yes, I've Decided",Sodonis/Borelly
,,,
Louisiana,Vision,"Yes, I've Decided",Sodonis/Borelly
,,,
Louisiana,Vision,"Yes, I've Decided",Sodonis/Borelly
,,,
Tennessee,Vision,"Yes, I've Decided",Sodonis/Borelly
,,,
Colorado,Compassion,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
Georgia,Compassion,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
Georgia,Compassion,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
Illinois,Compassion,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
Illinois,Compassion,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
Ohio,Compassion,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
Ohio,Compassion,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
Wyoming,Compassion,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
Wyoming,Compassion,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
Colorado,Perseverance,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
South Carolina,Perseverance,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
Florida,Vision,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
Florida,Vision,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
North Carolina,Vision,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
Tennessee,Vision,"Yes, I've Decided",Noah Streyle/Christa Kaufman
,,,
Indiana,Compassion,"Yes, I've Decided",Tangel/Usee
,,,
New York,Compassion,"Yes, I've Decided",Tangel/Usee
,,,
New York,Compassion,"Yes, I've Decided",Tangel/Usee
,,,
New York,Compassion,"Yes, I've Decided",Tangel/Usee
,,,
New York,Compassion,"Yes, I've Decided",Tangel/Usee
,,,
New York,Compassion,"Yes, I've Decided",Tangel/Usee
,,,
New York,Compassion,"Yes, I've Decided",Tangel/Usee
,,,
Virginia,Compassion,"Yes, I've Decided",Tangel/Usee
,,,
New York,Perseverance,"Yes, I've Decided",Tangel/Usee
,,,
New York,Perseverance,"Yes, I've Decided",Tangel/Usee
,,,
Indiana,Vision,"Yes, I've Decided",Tangel/Usee
,,,
New York,Vision,"Yes, I've Decided",Tangel/Usee
,,,
Ohio,Compassion,"Yes, I've Decided",Undecided
,,,
Texas,Compassion,"Yes, I've Decided",Undecided
,,,
Kansas,Parent,"Yes, I've Decided",Undecided
,,,
Louisiana,Compassion,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Alabama,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Florida,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Florida,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Florida,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Florida,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Florida,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Louisiana,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Louisiana,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Louisiana,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Louisiana,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Louisiana,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Louisiana,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Louisiana,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Montana,Perseverance,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Florida,Vision,"Yes, I've Decided",Wypszinski/Sullivan
,,,
Florida,Perseverance,,Carissa Gould/Toby DeMoss
,,,
Texas,Vision,,Undecided
,,,
Texas,Perseverance,,
,,,
,,,
,,,
,,,
,,,
,TOTAL PARTY,,
,,,
80,45,,
,,,
80,176,,
,,,
47,339,,
,,,
20,102,,
,,,
44,,,
,,,
33,7%,,
,,,
,26%,,
,,,
,51%,,
,,,
,15%,,
,,,
,,,
,,,
,0%,,
,,,
,30%,,
,,,
,53%,,
,,,
,17%,,
