Timestamp,State,Are you attending National Convention 2021 in person?,Party,Have you decided on a presidential ticket?,Vote,Are you open to changing your mind?,Which of these factors most greatly influences your decision to support a specific Presidential ticket?,What do you value most in a candidate?,Are you more likely to cast your vote based upon an individual or a message?,Do you have a personal Instagram account?,How important is a candidate's social media presence?,Which of the following influences your vote the most?,How many years have you been involved with TeenPact?,Which of the following candidate's names do you recognize?
5/19/2021 10:40:04,North Carolina,Yes,Compassion,Yes,Walt Baldwin/Cassie Sawyer,Yes,Personal interaction at National Convention,Kindness,Message,No,Slightly,Campaign team members,This is my first year,"Walter Baldwin, Micah Hill, Wynn Waldbeser"
5/19/2021 10:44:30,Arkansas,Yes,Perseverance,Yes,Luke Willson/Noah Diaz,Yes,Personal interaction at National Convention,Confidence,Individual,No,Slightly,Campaign team members,2-3,"Jeffrey Baker, Walter Baldwin, Beth Berry, Bruce Bigler, Madalyn Bizak, Sarah Botti, Libby Bova, Noah Diaz, Heidi Dillow, Myra Ehrenberg, Evie Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Caleb Hahn, Victoria Hemphill, Elise Hof, John Jordan, Caleb Knapp, Brooklyn Manning, Daniel McCarthy, Hannah Nelson, Noah Powers, Caleb Shirk, Macie Smith, John Sprayberry, Lauren Wagner, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/19/2021 10:50:27,California,No,N/A,Yes,Luke Willson/Noah Diaz,Yes,Social media presence,Likeability/humor,Individual,Yes,Very,Social Media presence,2-3,"Jeffrey Baker, Libby Bova, Noah Diaz, Wyatt Dillard, Eden Edwards, Luke Willson, Ethan Wright"
5/19/2021 10:50:30,South Carolina,Yes,N/A,No,Luke Willson/Noah Diaz,Yes,Personal interaction at National Convention,Honesty,Individual,Yes,Slightly,Campaign team members,6+,"Jackson Archer, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Isaac Cullum, Noah Diaz, Heidi Dillow, Eden Edwards, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Hahn, Victoria Hemphill, Elise Hof, Madison Hunsucker, John Jordan, Noah Kent, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, Corban Smith, Macie Smith, John Sprayberry, Linnea Stuart, Jacques Thibodeaux, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/19/2021 10:50:32,Oklahoma,Yes,Perseverance,No,Elise Hof/Brock Freeland,Yes,Social media presence,Humility,Message,Yes,Very,Campaign team members,This is my first year,"Beth Berry, Brock Freeland, Lydia Graham, Elise Hof, Caleb Knapp, Tylah Lynn, Lillian Savage, Cassie Sawyer"
5/19/2021 10:56:59,Florida,Yes,Perseverance,Yes,Ethan Wright/Lauren Wagner,Yes,,Likeability/humor,Individual,Yes,Slightly,Social Media presence,This is my first year,"Sarah Botti, Brock Freeland, Brooklyn Manning, Daniel McCarthy, Noah Powers, Brennan Roub, Lauren Wagner, Ethan Wright"
5/19/2021 11:11:33,Texas,No,Perseverance,Yes,Luke Willson/Noah Diaz,Yes,Campaign team outreach,Leads by example,Individual,Yes,Very,Campaign merchandise,This is my first year,"Beth Berry, Jake Brietzke, Kinley Chapa, Noah Diaz, Wyatt Dillard, Heidi Dillow, Lara Doorn, Eden Edwards, Evie Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Marisa Garcia, Lydia Graham, Caleb Griffin, Elise Hof, Madison Hunsucker, Nikolas Jones, Noah Kent, Caleb Knapp, Brooklyn Manning, Daniel McCarthy, Gideon Miller, Hannah Nelson, Nathaniel Olaires, Noah Powers, Lillian Savage, Jed Sicilia, Luke Willson, Ethan Wright, Max Zepeda"
5/19/2021 11:24:02,Texas,No,N/A,No,Luke Willson/Noah Diaz,Yes,Social media presence,Confidence,Individual,Yes,Very,Campaign team members,2-3,"Caroline Allen, Walter Baldwin, Noah Diaz, Heidi Dillow, Marisa Garcia, Victoria Hemphill, Brooklyn Manning, Grant May, Daniel McCarthy, Jamison Murabito, Lillian Savage, Cassie Sawyer, John Sprayberry, Luke Willson, Leah Wilson, Max Zepeda"
5/19/2021 11:24:48,Texas,Yes,Perseverance,No,Luke Willson/Noah Diaz,Yes,Performance during debates,Humility,Message,Yes,Very,Campaign team members,2-3,"Sarah Botti, Noah Diaz, Evie Erickson, Elise Hof, Grant May, Luke Willson, Chloe Jo Woodell, Max Zepeda"
5/19/2021 11:28:52,Florida,Yes,Vision,No,Luke Willson/Noah Diaz,Yes,Personal interaction at National Convention,Confidence,Individual,Yes,Slightly,Elections Hall Table Set-up,4-5,"Caroline Allen, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Reese Chatman, Isaac Cullum, Noah Diaz, Heidi Dillow, Myra Ehrenberg, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Hahn, Victoria Hemphill, Elise Hof, John Jordan, Noah Kent, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Rhianna Philcox, Marco Pineda, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, Macie Smith, John Sprayberry, Linnea Stuart, Colton Taussig, Lauren Wagner, Wynn Waldbeser, Luke Willson, Leah Wilson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
