Timestamp,State,Are you attending National Convention 2021 in person?,Party,Have you decided on a presidential ticket?,Vote,Are you open to changing your mind?,Which of these factors most greatly influences your decision to support a specific Presidential ticket?,What do you value most in a candidate?,Are you more likely to cast your vote based upon an individual or a message?,Do you have a personal Instagram account?,How important is a candidate's social media presence?,Which of the following influences your vote the most?,How many years have you been involved with TeenPact?,Which of the following candidate's names do you recognize?
5/18/2021 12:33:30,Texas,Yes,Compassion,No,Tara Beth Forehand/Lydia Graham,Yes,Social media presence,Open-mindedness,Message,Yes,Very,Social Media presence,4-5,"Tara Beth Forehand, Max Zepeda"
5/18/2021 12:33:46,Tennessee,No,Vision,Yes,Elise Hof/Brock Freeland,No,Prior relationship with candidates,Leads by example,Individual,Yes,Very,Social Media presence,2-3,"Caroline Allen, Jackson Archer, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Jake Brietzke, Reese Chatman, Isaac Cullum, Noah Diaz, Heidi Dillow, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Caleb Hahn, Victoria Hemphill, Elise Hof, Noah Kent, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Hannah Nelson, Rhianna Philcox, Brennan Roub, Cassie Sawyer, Caleb Shirk, Macie Smith, Linnea Stuart, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Leah Wilson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:34:35,Tennessee,Yes,Vision,Yes,Elise Hof/Brock Freeland,Yes,Prior relationship with candidates,Confidence,Individual,Yes,Very,Campaign team members,4-5,"Caroline Allen, Jackson Archer, Walter Baldwin, Sarah Botti, Brooks Breedlove, Reese Chatman, Noah Diaz, Heidi Dillow, Lara Doorn, Eden Edwards, Evie Erickson, Tara Beth Forehand, Brock Freeland, Victoria Hemphill, Elise Hof, Nikolas Jones, Noah Kent, Hannah Nelson, Noah Powers, Lillian Savage, Lauren Wagner, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:36:26,North Carolina,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,No,Prior relationship with candidates,Confidence,Individual,Yes,Slightly,Campaign team members,6+,"Jeffrey Baker, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Reese Chatman, Noah Diaz, Lara Doorn, Evie Erickson, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Caleb Hahn, Elise Hof, John Jordan, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Hannah Nelson, Noah Powers, Cassie Sawyer, Caleb Shirk, Macie Smith, Lauren Wagner, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:37:48,Indiana,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,No,Prior relationship with candidates,Humility,Individual,Yes,Very,Social Media presence,6+,"Caroline Allen, Jeffrey Baker, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Isaac Cullum, Noah Diaz, Wyatt Dillard, Heidi Dillow, Eden Edwards, Evie Erickson, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Caleb Hahn, Victoria Hemphill, Elise Hof, John Jordan, Noah Kent, Caleb Knapp, Tylah Lynn, Brooklyn Manning, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, Macie Smith, John Sprayberry, Linnea Stuart, Colton Taussig, Jacques Thibodeaux, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Leah Wilson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:37:48,Indiana,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,No,Prior relationship with candidates,Leads by example,Message,Yes,Very,Campaign team members,2-3,"Jeffrey Baker, Sarah Botti, Reese Chatman, Noah Diaz, Eden Edwards, Brock Freeland, Marisa Garcia, John Jordan, Cassie Sawyer, Linnea Stuart, Luke Willson"
5/18/2021 12:38:17,Connecticut,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,Yes,Prior relationship with candidates,Kindness,Individual,No,Very,Campaign team members,4-5,"Walter Baldwin, Bruce Bigler, Libby Bova, Jake Brietzke, Isaac Cullum, Noah Diaz, Evie Erickson, Tara Beth Forehand, Daniel McCarthy, Noah Powers, Caleb Shirk, Leah Wilson, Whitnie Yoder, Max Zepeda"
5/18/2021 12:38:36,North Carolina,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,Yes,Performance during debates,Leads by example,Individual,Yes,Slightly,Campaign team members,4-5,"Jeffrey Baker, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Noah Diaz, Heidi Dillow, Eden Edwards, Myra Ehrenberg, Evie Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Marisa Garcia, Lydia Graham, Caleb Griffin, Caleb Hahn, Victoria Hemphill, Elise Hof, John Jordan, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, Corban smith, Macie Smith, John Sprayberry, Linnea Stuart, Colton Taussig, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:38:39,Texas,Yes,Vision,Yes,Elise Hof/Brock Freeland,Yes,Campaign team outreach,Kindness,Message,Yes,Very,Campaign team members,2-3,"Caroline Allen, Madalyn Bizak, Sarah Botti, Libby Bova, Jake Brietzke, Kinley Chapa, Reese Chatman, Noah Diaz, Wyatt Dillard, Heidi Dillow, Lara Doorn, Eden Edwards, Evie Erickson, Tara Beth Forehand, Brock Freeland, Marisa Garcia, Lydia Graham, Caleb Griffin, Elise Hof, Madison Hunsucker, John Jordan, Noah Kent, Caleb Knapp, Brooklyn Manning, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Rhianna Philcox, Marco Pineda, Noah Powers, Brennan Roub, Lillian Savage, Luke Willson, Chloe Jo Woodell, Whitnie Yoder, Max Zepeda"
5/18/2021 12:38:57,West Virginia,Yes,Perseverance,Yes,Walt Baldwin/Cassie Sawyer,No,Prior relationship with candidates,Open-mindedness,Individual,Yes,Very,Campaign team members,This is my first year,"Walter Baldwin, Libby Bova, Noah Diaz, Heidi Dillow, Lara Doorn, Lydia Graham, Caleb Griffin, Caleb Hahn, Micah Hill, Grant May, Cassie Sawyer"
5/18/2021 12:39:05,Wisconsin,No,Perseverance,Yes,Luke Wilson/Noah Diaz,No,Campaign team outreach,Leads by example,Individual,No,Hardly,Campaign team members,2-3,"Jeffrey Baker, Bruce Bigler, Sarah Botti, Noah Diaz, Wyatt Dillard, Eden Edwards, Evie Erickson, Dannen Farabee, Brock Freeland, Elise Hof, John Jordan, Caleb Knapp, Brooklyn Manning, Rose Schumacher, Luke Willson, Chloe Jo Woodell, Ethan Wright, Max Zepeda"
5/18/2021 12:39:23,Texas,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,Yes,,Humility,Individual,No,Not at all,Campaign team members,2-3,"Jeffrey Baker, Walter Baldwin, Madalyn Bizak, Sarah Botti, Brooks Breedlove, Jake Brietzke, Noah Diaz, Evie Erickson, Gabrielle Erickson, Brock Freeland, Marisa Garcia, Caleb Hahn, Elise Hof, Caleb Knapp, Grant May, Jamison Murabito, Luke Willson, Whitnie Yoder, Max Zepeda"
5/18/2021 12:39:37,Pennsylvania,Yes,Compassion,Yes,Ethan Wright/Lauren Wagner,No,Prior relationship with candidates,Leads by example,Individual,Yes,Slightly,Social Media presence,2-3,"Caroline Allen, Jeffrey Baker, Walter Baldwin, Beth Berry, Bruce Bigler, Madalyn Bizak, Sarah Botti, Libby Bova, Reese Chatman, Noah Diaz, Heidi Dillow, Eden Edwards, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Caleb Hahn, Victoria Hemphill, Elise Hof, Noah Kent, Caleb Knapp, Tylah Lynn, Brooklyn Manning, Grant May, Daniel McCarthy, Jamison Murabito, Rhianna Philcox, Lillian Savage, Cassie Sawyer, Caleb Shirk, John Sprayberry, Linnea Stuart, Lauren Wagner, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:39:46,Texas,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,Yes,Prior relationship with candidates,Confidence,Individual,Yes,Slightly,Campaign team members,4-5,"Jeffrey Baker, Libby Bova, Jake Brietzke, Noah Diaz, Wyatt Dillard, Eden Edwards, Dannen Farabee, Brock Freeland, Marisa Garcia, Caleb Griffin, Caleb Hahn, Elise Hof, John Jordan, Noah Kent, Brooklyn Manning, Grant May, Daniel McCarthy, Marco Pineda, Lillian Savage, Luke Willson, Max Zepeda"
5/18/2021 12:39:53,Oregon,No,N/A,Yes,Walt Baldwin/Cassie Sawyer,No,Prior relationship with candidates,Honesty,Individual,Yes,Slightly,Campaign team members,6+,"Walter Baldwin, Beth Berry, Sarah Botti, Noah Diaz, Heidi Dillow, Eden Edwards, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Caleb Griffin, Caleb Hahn, Elise Hof, John Jordan, Tylah Lynn, Brooklyn Manning, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Cassie Sawyer, John Sprayberry, Colton Taussig, Lauren Wagner, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:39:55,Georgia,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,Yes,Personal interaction at National Convention,Leads by example,Message,Yes,Not at all,Elections Hall Table Set-up,2-3,"Jeffrey Baker, Walter Baldwin, Beth Berry, Madalyn Bizak, Austin Blackard, Sarah Botti, Libby Bova, Jake Brietzke, Reese Chatman, Isaac Cullum, Noah Diaz, Heidi Dillow, Lara Doorn, Eden Edwards, Myra Ehrenberg, Evie Erickson, Gabrielle Erickson, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Caleb Hahn, Grace Hardison, Trevor Harrison, Victoria Hemphill, Micah Hill, Elise Hof, John Jordan, Noah Kent, Caleb Knapp, Joseph Lasseter, Tylah Lynn, Brooklyn Manning, Grant May, Daniel McCarthy, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Marco Pineda, Noah Powers, Lillian Savage, Cassie Sawyer, Rose Schumacher, Jed Sicilia, John Sprayberry, Sarah Strozier, Grayson Sykes, Colton Taussig, Jacques Thibodeaux, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Leah Wilson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:40:05,Georgia,Yes,Perseverance,No,Luke Wilson/Noah Diaz,Yes,Personal interaction at National Convention,Honesty,Individual,Yes,Slightly,Elections Hall Table Set-up,4-5,"Caroline Allen, Jackson Archer, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Jake Brietzke, Reese Chatman, Noah Diaz, Heidi Dillow, Lara Doorn, Myra Ehrenberg, Evie Erickson, Gabrielle Erickson, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Caleb Hahn, Victoria Hemphill, Elise Hof, John Jordan, Noah Kent, Caleb Knapp, Tylah Lynn, Brooklyn Manning, Grant May, Daniel McCarthy, Gideon Miller, Jamison Murabito, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Brennan Roub, Lillian Savage, Cassie Sawyer, Rose Schumacher, John Sprayberry, Linnea Stuart, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Leah Wilson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:40:07,Michigan,No,Perseverance,Yes,Luke Wilson/Noah Diaz,No,Prior relationship with candidates,Kindness,Individual,Yes,Very,Campaign team members,2-3,"Caroline Allen, Jeffrey Baker, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Jake Brietzke, Reese Chatman, Noah Diaz, Heidi Dillow, Lara Doorn, Myra Ehrenberg, Evie Erickson, Dannen Farabee, Brock Freeland, Lydia Graham, Caleb Hahn, Trevor Harrison, Victoria Hemphill, Elise Hof, John Jordan, Noah Kent, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Hannah Nelson, Noah Powers, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, Macie Smith, Linnea Stuart, Lauren Wagner, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:40:23,Mississippi,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,Yes,Performance during debates,Good listener,Individual,Yes,Slightly,Campaign team members,4-5,"Jeffrey Baker, Walter Baldwin, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Sam Deiters, Noah Diaz, Wyatt Dillard, Heidi Dillow, Eden Edwards, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Caleb Hahn, Elise Hof, John Jordan, Noah Kent, Caleb Knapp, Tylah Lynn, Brooklyn Manning, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Nathaniel Olaires, Brennan Roub, Lillian Savage, Caleb Shirk, Macie Smith, John Sprayberry, Grayson Sykes, Colton Taussig, Jacques Thibodeaux, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:40:52,South Carolina,No,Perseverance,Yes,,No,Campaign team outreach,Likeability/humor,Individual,No,Slightly,Campaign team members,This is my first year,"Caroline Allen, Jeffrey Baker, Noah Diaz, Wyatt Dillard, Myra Ehrenberg, Caleb Griffin, Elise Hof, Caleb Knapp, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Luke Willson, Whitnie Yoder"
5/18/2021 12:41:09,Texas,Yes,N/A,Yes,Elise Hof/Brock Freeland,Yes,Personal interaction at National Convention,Open-mindedness,Message,Yes,Hardly,Elections Hall Table Set-up,4-5,"Beth Berry, Sarah Botti, Libby Bova, Jake Brietzke, Kinley Chapa, Reese Chatman, Isaac Cullum, Noah Diaz, Myra Ehrenberg, Evie Erickson, Tara Beth Forehand, Brock Freeland, Caleb Hahn, Elise Hof, Caleb Knapp, Grant May, Daniel McCarthy, Hannah Nelson, Brennan Roub, Lillian Savage, Cassie Sawyer, John Sprayberry, Lauren Wagner, Luke Willson, Chloe Jo Woodell, Whitnie Yoder, Max Zepeda"
5/18/2021 12:41:12,North Carolina,Yes,Perseverance,No,,Yes,Performance during debates,Leads by example,Individual,Yes,Not at all,Social Media presence,6+,"Walter Baldwin, Beth Berry, Bruce Bigler, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Isaac Cullum, Noah Diaz, Heidi Dillow, Lara Doorn, Eden Edwards, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Caleb Hahn, Victoria Hemphill, Micah Hill, Elise Hof, John Jordan, Noah Kent, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, Corban smith, Macie Smith, John Sprayberry, Colton Taussig, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:41:18,Alabama,Yes,N/A,No,Tara Beth Forehand/Lydia Graham,No,Prior relationship with candidates,Humility,Individual,Yes,Not at all,Campaign team members,2-3,"Gabrielle Erickson, Tara Beth Forehand, Lydia Graham, Caleb Griffin"
5/18/2021 12:41:22,West Virginia,Yes,Perseverance,Yes,Walt Baldwin/Cassie Sawyer,No,Prior relationship with candidates,Open-mindedness,Individual,Yes,Very,Campaign team members,This is my first year,"Walter Baldwin, Libby Bova, Noah Diaz, Heidi Dillow, Lara Doorn, Lydia Graham, Caleb Griffin, Caleb Hahn, Micah Hill, Grant May, Cassie Sawyer"
5/18/2021 12:41:22,Montana,Yes,Compassion,Yes,,Yes,Performance during debates,Kindness,Individual,Yes,Very,Campaign team members,4-5,"Caroline Allen, Walter Baldwin, Beth Berry, Bruce Bigler, Sarah Botti, Libby Bova, Noah Diaz, Heidi Dillow, Lara Doorn, Eden Edwards, Evie Erickson, Dannen Farabee, Brock Freeland, Caleb Hahn, Elise Hof, Noah Kent, Caleb Knapp, Logan Koerner, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Rhianna Philcox, Noah Powers, Brennan Roub, Lillian Savage, Macie Smith, John Sprayberry, Linnea Stuart, Lauren Wagner, Luke Willson, Chloe Jo Woodell, Ethan Wright, Max Zepeda"
5/18/2021 12:41:24,Oregon,Yes,Compassion,Yes,Tara Beth Forehand/Lydia Graham,No,Prior relationship with candidates,Kindness,Individual,Yes,Slightly,Campaign team members,4-5,"Caroline Allen, Beth Berry, Sarah Botti, Reese Chatman, Noah Diaz, Heidi Dillow, Eden Edwards, Evie Erickson, Gabrielle Erickson, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Hahn, Elise Hof, John Jordan, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Hannah Nelson, Lillian Savage, Corban smith, Colton Taussig, Lauren Wagner, Luke Willson, Chloe Jo Woodell, Whitnie Yoder, Max Zepeda"
5/18/2021 12:41:26,Arizona,Yes,Perseverance,Yes,,Yes,Prior relationship with candidates,Humility,Individual,No,Hardly,Campaign merchandise,4-5,"Jeffrey Baker, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Jake Brietzke, Reese Chatman, Noah Diaz, Heidi Dillow, Myra Ehrenberg, Evie Erickson, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Elise Hof, John Jordan, Brooklyn Manning, Grant May, Hannah Nelson, Noah Powers, Brennan Roub, Caleb Shirk, Corban smith, Macie Smith, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Whitnie Yoder, Max Zepeda"
5/18/2021 12:41:57,Texas,No,Vision,Yes,Elise Hof/Brock Freeland,Yes,Campaign team outreach,Open-mindedness,Message,Yes,Slightly,Social Media presence,This is my first year,"Sarah Botti, Jake Brietzke, Noah Diaz, Evie Erickson, Brock Freeland, Marisa Garcia, Elise Hof, Madison Hunsucker, Noah Kent, Brooklyn Manning, Grant May, Hannah Nelson, Lillian Savage, Max Zepeda"
5/18/2021 12:42:05,Connecticut,Yes,Perseverance,Yes,,No,Social media presence,Leads by example,Message,Yes,Very,Campaign team members,2-3,"Caroline Allen, Jeffrey Baker, Walter Baldwin, Beth Berry, Bruce Bigler, Madalyn Bizak, Sarah Botti, Libby Bova, Jake Brietzke, Reese Chatman, Isaac Cullum, Noah Diaz, Wyatt Dillard, Heidi Dillow, Lara Doorn, Myra Ehrenberg, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Marisa Garcia, Lydia Graham, Caleb Griffin, Caleb Hahn, Victoria Hemphill, Elise Hof, Madison Hunsucker, John Jordan, Noah Kent, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Rhianna Philcox, Noah Powers, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, Corban smith, Macie Smith, John Sprayberry, Linnea Stuart, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:42:12,Iowa,Yes,Vision,Yes,Elise Hof/Brock Freeland,Yes,Campaign team outreach,Leads by example,Individual,No,Slightly,Campaign team members,2-3,"Caroline Allen, Jeffrey Baker, Walter Baldwin, Beth Berry, Bruce Bigler, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Noah Diaz, Wyatt Dillard, Heidi Dillow, Eden Edwards, Myra Ehrenberg, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Marisa Garcia, Lydia Graham, Caleb Griffin, Victoria Hemphill, Elise Hof, Madison Hunsucker, Caleb Knapp, Brooklyn Manning, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Marco Pineda, Noah Powers, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, John Sprayberry, Jacques Thibodeaux, Lauren Wagner, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:43:12,Iowa,Yes,Vision,Yes,Elise Hof/Brock Freeland,No,Prior relationship with candidates,Confidence,Individual,Yes,Very,Campaign team members,4-5,"Caroline Allen, Jeffrey Baker, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Noah Diaz, Heidi Dillow, Eden Edwards, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Hahn, Trevor Harrison, Victoria Hemphill, Elise Hof, John Jordan, Caleb Knapp, Tylah Lynn, Brooklyn Manning, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Marco Pineda, Noah Powers, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, Corban smith, Macie Smith, Linnea Stuart, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:43:24,Alabama,Yes,Perseverance,Yes,,Yes,Performance during debates,Kindness,Individual,Yes,Very,Campaign merchandise,4-5,"Caroline Allen, Jeffrey Baker, Walter Baldwin, Beth Berry, Bruce Bigler, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Noah Diaz, Wyatt Dillard, Heidi Dillow, Eden Edwards, Evie Erickson, Gabrielle Erickson, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Caleb Hahn, Victoria Hemphill, Elise Hof, John Jordan, Noah Kent, Caleb Knapp, Tylah Lynn, Brooklyn Manning, Grant May, Daniel McCarthy, Gideon Miller, Jamison Murabito, Hannah Nelson, Nathaniel Olaires, Noah Powers, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, Corban smith, Macie Smith, Sarah Strozier, Linnea Stuart, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:43:27,Kansas,Yes,Vision,No,Ethan Wright/Lauren Wagner,Yes,Performance during debates,Kindness,Individual,Yes,Very,Social Media presence,4-5,"Caroline Allen, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Jake Brietzke, Reese Chatman, Noah Diaz, Heidi Dillow, Evie Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Caleb Griffin, Caleb Hahn, Elise Hof, Noah Kent, Caleb Knapp, Tylah Lynn, Brooklyn Manning, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Noah Powers, Cassie Sawyer, Caleb Shirk, Linnea Stuart, Colton Taussig, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:43:43,Florida,Yes,Vision,No,Undecided,Yes,Prior relationship with candidates,Humility,Individual,Yes,Slightly,Campaign team members,2-3,"Caroline Allen, Jeffrey Baker, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Jake Brietzke, Reese Chatman, Isaac Cullum, Noah Diaz, Lara Doorn, Eden Edwards, Myra Ehrenberg, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Marisa Garcia, Lydia Graham, Caleb Griffin, Caleb Hahn, Trevor Harrison, Elise Hof, John Jordan, Caleb Knapp, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Rhianna Philcox, Marco Pineda, Noah Powers, Brennan Roub, Lillian Savage, Cassie Sawyer, John Sprayberry, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:43:52,Georgia,Yes,Compassion,Yes,Luke Willson/Noah Diaz,No,Prior relationship with candidates,Leads by example,Individual,Yes,Very,Social Media presence,2-3,"Jeffrey Baker, Walter Baldwin, Beth Berry, Bruce Bigler, Madalyn Bizak, Austin Blackard, Sarah Botti, Libby Bova, Jake Brietzke, Reese Chatman, Noah Diaz, Wyatt Dillard, Heidi Dillow, Lara Doorn, Eden Edwards, Myra Ehrenberg, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Marisa Garcia, Lydia Graham, Caleb Griffin, Caleb Hahn, Victoria Hemphill, Elise Hof, John Jordan, Noah Kent, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Marco Pineda, Noah Powers, Brennan Roub, Lillian Savage, Caleb Shirk, Corban smith, John Sprayberry, Colton Taussig, Wynn Waldbeser, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:43:54,Oregon,Yes,Perseverance,Yes,,Yes,Performance during debates,Leads by example,Individual,Yes,Slightly,Social Media presence,4-5,"Walter Baldwin, Beth Berry, Bruce Bigler, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Noah Diaz, Heidi Dillow, Eden Edwards, Evie Erickson, Gabrielle Erickson, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Hahn, Elise Hof, John Jordan, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, Corban smith, Macie Smith, John Sprayberry, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
