Timestamp,State,Are you attending National Convention 2019?,Party,What do you value most in a candidate?,Which of these factors most influences your vote?,Vote,Which of these factors most greatly influences your decision to support a specific Presidential ticket?,How likely are you to change your mind or choose a Presidential ticket at National Convention? ,Do you currently plan to vote for any specific Representative or Senatorial candidates?,"Once elected, how involved in the Administration of the TeenPact nation should Representatives and Senators be?",Which of these candidates do you recognize?
5/17/2019 2:49:30,,No,,Honesty,Instagram page,Richardson/Benitez,Prior relationship with candidates,It's possible,No,Slightly involved,"Anna Claire Williams, Blake Landry, Briley Glisson, David Gosz, Emma Freeland, Isaac Richardson, Libby Robinson, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Patrick Sullivan, Ryan Folmar, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/17/2019 2:51:20,South Carolina,Yes,Perseverance,Kindness,Instagram page,Forehand/McDonald,Personal interaction at National Convention,It's possible,No,Moderately involved,"Abby Murray, Anna Claire Williams, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan McCallum, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Patrick Sullivan, Spencer Graham, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/17/2019 2:57:46,Virginia,Yes,N/A,Kindness,Elections Hall table setup,Undecided,Prior relationship with candidates,It's possible,No,Very involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Olivia Banta, Patrick Sullivan, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/17/2019 3:30:52,Florida,Yes,Compassion,Humility,Campaign merchandise,Robinson/Adams,Prior relationship with candidates,Unlikely,No,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Briley Glisson, Chloe Carlson, David Gosz, Emma Freeland, Isaac Richardson, Libby Robinson, Logan Hancock, Luke Bieber, Maggie Megelsh, Meredith Durham, Patrick Sullivan, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/17/2019 5:46:38,Alaska,Yes,Compassion,Humility,Elections Hall table setup,Richardson/Benitez,Prior relationship with candidates,Unlikely,No,Very involved,"Anna Claire Williams, Biani Benitez, David Gosz, Isaac Richardson, Tessa Lynn"
,,,,,,,,,,,
5/17/2019 5:49:46,,Yes,Compassion,Kindness,,Richardson/Benitez,Personal interaction at National Convention,Out of the question,No,Moderately involved,"Anna Claire Williams, Biani Benitez, Caroline Gould, Chad Fryer, David Gosz, Isaac Richardson, Patrick Sullivan, Tessa Lynn"
,,,,,,,,,,,
5/17/2019 17:55:22,Pennsylvania,Yes,Compassion,Honesty,Elections Hall table setup,Undecided,Performance during debates,Very likely,No,Moderately involved,"Biani Benitez, Madelyn McDonald, Toby Forehand"
,,,,,,,,,,,
5/17/2019 19:42:16,Maine,Yes,N/A,Confidence,Instagram page,Undecided,Prior relationship with candidates,It's possible,No,Slightly involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, David McElroy, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Lauren Wagner, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Olivia Banta, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/17/2019 20:02:16,Arizona,Yes,Perseverance,Honesty,Elections Hall table setup,Robinson/Adams,Prior relationship with candidates,It's possible,No,Moderately involved,"Anna Adams, Braden Kanyur, Caleb Hahn, Eva Reynolds, Libby Robinson, Toby Forehand"
,,,,,,,,,,,
5/17/2019 20:03:10,Iowa,No,N/A,Honesty,Instagram page,Undecided,Prior relationship with candidates,It's possible,No,Very involved,"Isaac Richardson, Josiah Wolfe, Logan Hancock, Ryan Folmar"
,,,,,,,,,,,
5/17/2019 21:02:36,Florida,No,N/A,Humor,Campaign merchandise,Richardson/Benitez,Prior relationship with candidates,Out of the question,No,Very involved,"Emma Freeland, Isaac Richardson, Josiah Wolfe, Lauren Wagner, Logan Hancock, Patrick Sullivan"
,,,,,,,,,,,
5/17/2019 21:49:00,Illinois,No,N/A,Honesty,Instagram page,Other,Social media presence,It's possible,No,Slightly involved,"Isaac Richardson, Jonathan Crampton, Roam Hoskin"
,,,,,,,,,,,
5/18/2019 4:41:13,Texas,Yes,Vision,Confidence,Instagram page,Robinson/Adams,Performance during debates,It's possible,No,Moderately involved,"Bradley Conrad, David Gosz, Emma Freeland, Libby Robinson, Madelyn McDonald, Ryan Folmar, Toby Forehand"
,,,,,,,,,,,
5/18/2019 11:41:14,Maine,No,N/A,Humility,Instagram page,Richardson/Benitez,Campaign team outreach,Unlikely,No,Moderately involved,"Abby Murray, Andrew Gwinn, Anna Claire Williams, Biani Benitez, Blake Landry, Chad Fryer, Isaac Richardson, Libby Robinson, Logan Hancock, Luke Bieber, Meredith Durham, Toby Forehand"
,,,,,,,,,,,
5/15/2019 17:27:07,Mississippi,Yes,N/A,Confidence,Campaign merchandise,Robinson/Adams,Performance during debates,Very likely,Yes,Moderately involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Kolar, Josiah Wolfe, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Olivia Banta, Patrick Sullivan, Ryan Folmar, Spencer Graham, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 17:34:37,Nebraska,Yes,N/A,Honesty,Campaign posters,Richardson/Benitez,Performance during debates,It's possible,Yes,Very involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caleb Shirk, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Olivia Banta, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 17:45:04,Pennsylvania,Yes,N/A,Honesty,Instagram page,Undecided,Campaign team outreach,Very likely,Yes,Moderately involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Kent, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Spencer Graham, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:24:05,Florida,Yes,N/A,Confidence,Campaign merchandise,Forehand/McDonald,Performance during debates,Very likely,Yes,Very involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Braden Kanyur, Briley Glisson, Caleb Shirk, Caroline Gould, Chad Fryer, Chloe Carlson, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Wolfe, Lauren Wagner, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Noah Diaz, Olivia Banta, Patrick Sullivan, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:26:03,Virginia,No,N/A,Humility,Instagram page,Forehand/McDonald,Prior relationship with candidates,Out of the question,Yes,Moderately involved,"Abby Murray, Biani Benitez, Blake Landry, Briley Glisson, Caroline Gould, Carter MacDonald, Emma Freeland, Isaac Richardson, Libby Robinson, Lindsey Caba, Logan Hancock, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Patrick Sullivan, Taylor Migliore, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:27:29,Alabama,No,N/A,Honesty,Instagram page,Robinson/Adams,Prior relationship with candidates,It's possible,Yes,Very involved,"Anna Adams, Bradley Conrad, Briley Glisson, Caroline Gould, Carter MacDonald, Chloe Carlson, Chloe Jo Woodell, Emma Freeland, Isaac Richardson, Josiah Kolar, Libby Robinson, Patrick Sullivan, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:27:42,Ohio,Yes,Perseverance,Humility,Elections Hall table setup,Richardson/Benitez,Performance during debates,It's possible,Yes,Moderately involved,"Isaac Richardson, Nathan Furlough, Olivia Banta, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:28:14,Kansas,Yes,Vision,Kindness,Instagram page,Undecided,Personal interaction at National Convention,Very likely,Yes,Moderately involved,"Anna Claire Williams, Biani Benitez, Briley Glisson, Caleb Shirk, Caroline Gould, Chad Fryer, Chloe Jo Woodell, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Kylee Brandon, Libby Robinson, Logan Hancock, Luke Bieber, Lydia Smith, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Ryan Folmar, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:28:38,Georgia,Yes,Vision,Humility,Instagram page,Robinson/Adams,Campaign team outreach,Very likely,Yes,Very involved,"Anna Adams, Anna Claire Williams, Biani Benitez, Briley Glisson, Caroline Gould, Chad Fryer, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Wolfe, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Patrick Sullivan, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:28:45,Florida,Yes,Compassion,Honesty,Campaign merchandise,Robinson/Adams,Prior relationship with candidates,It's possible,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Briley Glisson, Caleb Hahn, Caroline Gould, Chad Fryer, Daniel McCarthy, David Gosz, Emma Freeland, Isaac Richardson, Kylee Brandon, Lauren Wagner, Libby Robinson, Logan Hancock, Maggie Megelsh, Nathan Furlough, Noah Diaz, Patrick Sullivan, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:29:02,Florida,Yes,Compassion,Confidence,Instagram page,Robinson/Adams,Campaign team outreach,It's possible,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Kasey Cochran, Kylee Brandon, Lauren Wagner, Libby Robinson, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:29:24,Oregon,Yes,Vision,Humility,Instagram page,Forehand/McDonald,Prior relationship with candidates,Unlikely,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Nick Alexakos, Noah Diaz, Noah Kent, Olivia Banta, Patrick Sullivan, Ryan Folmar, Spencer Graham, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:30:27,Tennessee,Yes,Compassion,Humility,Instagram page,Undecided,Personal interaction at National Convention,It's possible,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Lily Beall, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:30:42,Colorado,No,N/A,Humility,Instagram page,Forehand/McDonald,Campaign team outreach,Unlikely,Yes,Very involved,"Caleb Hahn, Caroline Gould, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Wolfe, Liz Daley, Madelyn McDonald, Nathan Furlough, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:30:59,,Yes,Vision,Confidence,Instagram page,Undecided,Performance during debates,Very likely,Yes,Very involved,"Abby Murray, Anna Adams, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Daniel McCarthy, Emma Freeland, Isaac Richardson, Josiah Wolfe, Libby Robinson, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Patrick Sullivan, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:31:04,Arkansas,Yes,Compassion,Open-mindedness,Instagram page,Robinson/Adams,Campaign team outreach,It's possible,Yes,Moderately involved,"Anna Claire Williams, Biani Benitez, Caleb Hahn, Caleb Shirk, Caroline Gould, Chloe Jo Woodell, Emma Freeland"
,,,,,,,,,,,
5/15/2019 19:31:19,Alabama,Yes,Vision,Humor,Instagram page,Robinson/Adams,Performance during debates,It's possible,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Bradley Conrad, Briley Glisson, Carter MacDonald, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, Josiah Wolfe, Libby Robinson, Meredith Durham, Noah Diaz, Noah Kent, Spencer Graham"
,,,,,,,,,,,
5/15/2019 19:31:51,Florida,Yes,Compassion,Kindness,Instagram page,Robinson/Adams,Campaign team outreach,Out of the question,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caroline Gould, Carter MacDonald, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, David McElroy, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Olivia Banta, Patrick Sullivan, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:32:05,Texas,Yes,Perseverance,Kindness,Instagram page,Richardson/Benitez,Prior relationship with candidates,It's possible,Yes,Very involved,"Anna Claire Williams, Biani Benitez, Blake Landry, Briley Glisson, Caroline Gould, Carter MacDonald, Charlie Hester, Chloe Carlson, Daniel McCarthy, David Gosz, David McElroy, Emma Freeland, Isaac Richardson, Josiah Wolfe, Logan Hancock, Luke Bieber, Maggie Megelsh, Patrick Sullivan, Ryan Folmar, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:32:05,Alabama,Yes,Vision,Honesty,Campaign merchandise,Robinson/Adams,Prior relationship with candidates,Very likely,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Wolfe, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Matthias Haas, Meredith Durham, Nathan Furlough, Patrick Sullivan, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:32:07,Connecticut,Yes,Vision,Honesty,Instagram page,Forehand/McDonald,Prior relationship with candidates,Unlikely,Yes,Very involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Patrick Sullivan, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:32:51,South Carolina,No,N/A,Kindness,Instagram page,Richardson/Benitez,Social media presence,Out of the question,Yes,Very involved,"Abby Murray, Anna Claire Williams, Biani Benitez, Briley Glisson, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Lindsey Caba, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Patrick Sullivan"
,,,,,,,,,,,
5/15/2019 19:33:47,Mississippi,Yes,Perseverance,Humor,Instagram page,Undecided,Prior relationship with candidates,Very likely,Yes,Moderately involved,"Anna Claire Williams, Jonathan Crampton, Jonathan McCallum"
,,,,,,,,,,,
5/15/2019 19:33:54,Kansas,No,N/A,Kindness,Campaign posters,Richardson/Benitez,Personal interaction at National Convention,Unlikely,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Bradley Conrad, Briley Glisson, Caroline Gould, Carter MacDonald, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Josiah Wolfe, Libby Robinson, Lindsey Caba, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Noah Diaz, Peter Stephenson"
,,,,,,,,,,,
5/15/2019 19:33:56,South Carolina,Yes,Perseverance,Humility,Instagram page,Robinson/Adams,Performance during debates,Unlikely,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Blake Landry, Briley Glisson, Caroline Gould, Chad Fryer, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Libby Robinson, Liz Daley, Logan Hancock, Maggie Megelsh, Meredith Durham, Noah Diaz, Patrick Sullivan, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:34:01,Oklahoma,No,N/A,Honesty,Instagram page,Undecided,Social media presence,It's possible,Yes,Very involved,"Abby Murray, Braden White, Bradley Conrad, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Jo Woodell, David Gosz, Emma Freeland, Josiah Wolfe, Kylee Brandon, Lindsey Caba, Tessa Lynn"
,,,,,,,,,,,
5/15/2019 19:34:31,Kansas,No,Vision,Honesty,Instagram page,Richardson/Benitez,Prior relationship with candidates,It's possible,Yes,Moderately involved,"Andrew Gwinn, Anna Claire Williams, Braden Kanyur, Bradley Conrad, Briley Glisson, Caroline Gould, Chad Fryer, David Gosz, Emma Freeland, Isaac Richardson, Josiah Kolar, Logan Hancock, Luke Bieber, Madelyn McDonald, Meredith Durham, Noah Diaz, Patrick Sullivan, Ryan Folmar, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:35:03,Georgia,No,N/A,Humility,Instagram page,Forehand/McDonald,Personal interaction at National Convention,It's possible,Yes,Very involved,"Caroline Gould, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, Emma Freeland, Isaac Richardson, Josiah Wolfe, Libby Robinson, Liz Daley, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Patrick Sullivan, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:35:18,Florida,Yes,Perseverance,Humility,Instagram page,Robinson/Adams,Performance during debates,Unlikely,Yes,Moderately involved,"Abby Murray, Anna Adams, Biani Benitez, Bradley Conrad, Briley Glisson, Caroline Gould, Chad Fryer, Charlie Hester, Daniel McCarthy, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Kylee Brandon, Lauren Wagner, Libby Robinson, Maggie Megelsh, Meredith Durham, Noah Diaz, Patrick Sullivan, Taylor Migliore, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:35:27,Arkansas,Yes,Vision,Humility,Instagram page,Forehand/McDonald,Prior relationship with candidates,Unlikely,Yes,Moderately involved,"Abby Murray, Anna Claire Williams, Biani Benitez, Braden Kanyur, Bradley Conrad, Briley Glisson, Carter MacDonald, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Libby Robinson, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Nathan Furlough, Patrick Sullivan, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:35:32,Alabama,Yes,Vision,Confidence,Elections Hall table setup,Richardson/Benitez,Personal interaction at National Convention,It's possible,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Bradley Conrad, Briley Glisson, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Wolfe, Libby Robinson, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Noah Diaz, Patrick Sullivan, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:37:04,New Mexico,Yes,Perseverance,Humility,Instagram page,Richardson/Benitez,Prior relationship with candidates,It's possible,Yes,Very involved,"Abby Murray, Biani Benitez, Chloe Carlson, Chloe Jo Woodell, Isaac Richardson, Libby Robinson, Madelyn McDonald, Maggie Megelsh, Spencer Graham, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:39:03,Ohio,Yes,Vision,Humility,Instagram page,Forehand/McDonald,Prior relationship with candidates,Unlikely,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Braden Kanyur, Braden White, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Nathan Furlough, Nick Alexakos, Noah Diaz, Olivia Banta, Patrick Sullivan, Ryan Folmar, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:39:41,Florida,Yes,Perseverance,Honesty,Instagram page,Forehand/McDonald,Social media presence,It's possible,Yes,Very involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Briley Glisson, Caroline Gould, Chad Fryer, Chloe Carlson, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Kylee Brandon, Libby Robinson, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Noah Diaz, Patrick Sullivan, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:39:53,Indiana,No,N/A,Humility,Instagram page,Forehand/McDonald,Social media presence,It's possible,Yes,Very involved,"Blake Landry, Braden Kanyur, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Charlie Hester, Chloe Jo Woodell, Daniel McCarthy, Emma Freeland, Grace Slack, Josiah Wolfe, Kylee Brandon, Lauren Wagner, Libby Robinson, Lindsey Caba, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Noah Diaz, Noah Kent, Olivia Banta, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:39:56,Iowa,No,N/A,Kindness,Instagram page,Richardson/Benitez,Campaign team outreach,It's possible,Yes,Very involved,"Abby Murray, Biani Benitez, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, Emma Freeland, Isaac Richardson, Kylee Brandon, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Nathan Furlough, Noah Diaz, Noah Kent, Patrick Sullivan, Ryan Folmar, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:40:16,Oregon,No,N/A,Humility,Instagram page,Undecided,Social media presence,Out of the question,Yes,Moderately involved,Caleb Hahn
,,,,,,,,,,,
