Timestamp,State,Are you attending National Convention 2019?,Party,What do you value most in a candidate?,Which of these factors most influences your vote?,Vote,Which of these factors most greatly influences your decision to support a specific Presidential ticket?,How likely are you to change your mind or choose a Presidential ticket at National Convention? ,Do you currently plan to vote for any specific Representative or Senatorial candidates?,"Once elected, how involved in the Administration of the TeenPact nation should Representatives and Senators be?",Which of these candidates do you recognize?
,,,,,,,,,,,
5/15/2019 20:36:23,Nebraska,No,N/A,Confidence,Elections Hall table setup,Undecided,Personal interaction at National Convention,Out of the question,No,Moderately involved,"Anna Claire Williams, Bradley Conrad, Josiah Kolar"
,,,,,,,,,,,
5/15/2019 20:43:50,Florida,No,N/A,Confidence,Instagram page,Undecided,Performance during debates,Very likely,No,Very involved,"Anna Adams, Briley Glisson, Chad Fryer, Charlie Hester, Emma Freeland, Isaac Richardson, Jonathan Crampton, Kylee Brandon, Libby Robinson, Logan Hancock, Luke Bieber, Maggie Megelsh, Patrick Sullivan, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 20:43:58,Georgia,No,N/A,Honesty,,Undecided,Performance during debates,It's possible,No,Very involved,"Anna Claire Williams, Chad Fryer, Charlie Hester, Chloe Carlson, Emma Freeland, Logan Hancock, Lydia Smith, Maggie Megelsh, Patrick Sullivan"
,,,,,,,,,,,
5/15/2019 20:45:50,Misourri,Yes,Perseverance,Honesty,Elections Hall table setup,Richardson/Benitez,Prior relationship with candidates,It's possible,No,Moderately involved,"Andrew Gwinn, Caroline Gould, Chad Fryer, Chloe Carlson, Isaac Richardson, Josiah Kolar, Luke Bieber, Maggie Megelsh, Patrick Sullivan, Tessa Lynn"
,,,,,,,,,,,
5/15/2019 20:54:09,Georgia,No,Compassion,Honesty,Campaign merchandise,Forehand/McDonald,Prior relationship with candidates,It's possible,No,Very involved,"Briley Glisson, Carter MacDonald, Chad Fryer, Emma Freeland, Isaac Richardson, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Patrick Sullivan, Roam Hoskin, Ryan Folmar, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:13:22,New York,Yes,Compassion,Open-mindedness,Elections Hall table setup,Undecided,Campaign team outreach,It's possible,No,Moderately involved,"Anna Adams, Noah Diaz, Olivia Banta"
,,,,,,,,,,,
5/15/2019 21:15:07,Washington,No,N/A,Kindness,Instagram page,Undecided,Social media presence,It's possible,No,Very involved,"Anna Claire Williams, Patrick Sullivan"
,,,,,,,,,,,
5/15/2019 21:24:50,Texas,No,N/A,Open-mindedness,Instagram page,Other,Performance during debates,It's possible,No,Moderately involved,"Abby Murray, Andrew Gwinn, Anna Claire Williams, Blake Landry, Braden Kanyur, Bradley Conrad, Caroline Gould, Emma Freeland, Kasey Cochran, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:41:45,South Dakota,No,N/A,Open-mindedness,Instagram page,Richardson/Benitez,Social media presence,Unlikely,No,Moderately involved,"Anna Claire Williams, Chloe Jo Woodell, Isaac Richardson, Maggie Megelsh"
,,,,,,,,,,,
5/15/2019 21:42:11,Maine,Yes,Compassion,Honesty,Elections Hall table setup,Gwinn/Bieber,Personal interaction at National Convention,Out of the question,No,Slightly involved,"Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Briley Glisson, Caleb Shirk, Chad Fryer, Charlie Hester, David Gosz, Isaac Richardson, Josiah Wolfe, Libby Robinson, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Olivia Banta, Patrick Sullivan, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:44:29,Illinois,No,N/A,Honesty,Instagram page,Forehand/McDonald,Social media presence,It's possible,No,Moderately involved,"Daniel McCarthy, Emma Freeland, Madelyn McDonald"
,,,,,,,,,,,
5/15/2019 21:47:44,Texas,Yes,Vision,Confidence,Instagram page,Forehand/McDonald,Personal interaction at National Convention,It's possible,No,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Briley Glisson, Caleb Hahn, Caleb Shirk, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, David McElroy, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Kasey Cochran, Libby Robinson, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Patrick Sullivan, Ryan Folmar, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:50:51,Virginia,Yes,Vision,Honesty,Campaign merchandise,Forehand/McDonald,Prior relationship with candidates,Unlikely,No,Slightly involved,"Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Josiah Wolfe, Lauren Wagner, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Nathan Furlough, Noah Diaz, Patrick Sullivan, Taylor Migliore, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:51:28,Massachusetts,Yes,Compassion,Open-mindedness,Campaign merchandise,Richardson/Benitez,Campaign team outreach,It's possible,No,Moderately involved,"Anna Adams, Briley Glisson, Caroline Gould, Isaac Richardson, Logan Hancock, Matthias Haas, Noah Diaz"
,,,,,,,,,,,
5/15/2019 21:58:42,New Mexico,Yes,Compassion,Honesty,Instagram page,Robinson/Adams,Personal interaction at National Convention,It's possible,No,Very involved,"Anna Adams, Braden Kanyur, Carter MacDonald, Kasey Cochran, Kylee Brandon, Lauren Wagner, Libby Robinson, Lydia Smith"
,,,,,,,,,,,
5/15/2019 22:09:29,Virginia,Yes,Compassion,Humility,Campaign merchandise,Robinson/Adams,Prior relationship with candidates,It's possible,No,Slightly involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Braden Kanyur, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Grace Slack, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Olivia Banta, Patrick Sullivan, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 22:13:01,Tennessee,Yes,N/A,Kindness,Instagram page,Forehand/McDonald,Prior relationship with candidates,Unlikely,No,Very involved,"Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Briley Glisson, Caleb Hahn, Caleb Shirk, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Lily Beall, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Kent, Olivia Banta, Patrick Sullivan, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 22:24:25,Louisiana,No,N/A,Humility,Instagram page,Undecided,Performance during debates,Unlikely,No,Very involved,Caroline Gould
,,,,,,,,,,,
5/15/2019 22:31:01,Misourri,Yes,Compassion,Humility,Elections Hall table setup,Gwinn/Bieber,Personal interaction at National Convention,Out of the question,No,Very involved,"Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Chloe Carlson, David Gosz, David McElroy, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Lauren Wagner, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Olivia Banta, Patrick Sullivan, Ryan Folmar, Spencer Graham, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 23:07:06,South Carolina,No,N/A,Honesty,Elections Hall table setup,Undecided,Prior relationship with candidates,It's possible,No,Very involved,"Liz Daley, Logan Hancock, Meredith Durham, Toby Forehand"
,,,,,,,,,,,
5/15/2019 23:13:46,North Carolina,Yes,Vision,Humility,Instagram page,Forehand/McDonald,Prior relationship with candidates,Out of the question,No,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Braden Kanyur, Briley Glisson, Caroline Gould, Chad Fryer, Charlie Hester, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Wolfe, Libby Robinson, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Patrick Sullivan, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 23:19:19,Arkansas,No,N/A,Honesty,Instagram page,Forehand/McDonald,Campaign team outreach,It's possible,No,Moderately involved,"Caleb Hahn, Carter MacDonald, Chloe Jo Woodell, Emma Freeland, Isaac Richardson, Logan Hancock, Madelyn McDonald, Nathan Furlough, Toby Forehand"
,,,,,,,,,,,
5/16/2019 0:12:27,Kansas,Yes,Vision,Humility,Elections Hall table setup,Richardson/Benitez,Performance during debates,Very likely,No,Very involved,"Anna Claire Williams, Briley Glisson, Caroline Gould, Chloe Carlson, David Gosz, Emma Freeland, Isaac Richardson, Josiah Kolar, Josiah Wolfe, Libby Robinson, Lily Beall, Luke Bieber, Maggie Megelsh, Nathan Furlough, Patrick Sullivan, Ryan Folmar, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/16/2019 0:37:01,Michigan,Yes,N/A,Honesty,,Forehand/McDonald,Prior relationship with candidates,It's possible,No,Moderately involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caleb Shirk, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, Daniel McCarthy, David Gosz, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Olivia Banta, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/16/2019 0:50:12,Kansas,Yes,Vision,Humility,Campaign posters,Undecided,Campaign team outreach,Very likely,No,Very involved,
,,,,,,,,,,,
